,,,,,,,,,,,,,,,,,,,,
,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,,,,,
,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,FMVP,,Player,Lg,Count
,Bob Love\lovebo01,1967,1977,789,31.8,17.6,5.9,1.4,0.8,0.2,0.429,,0.805,50.4,0.096,,,,,
,Jim Pollard\pollaji01,1949,1955,438,35.4,13.2,7.8,3.2,,,0.36,,0.75,34.9,0.093,,,,,
,Spencer Haywood\haywosp01,1971,1983,760,33.7,19.2,9.3,1.8,0.6,1.1,0.465,0.125,0.8,61.4,0.115,,,,,
,Dikembe Mutombo\mutomdi01,1992,2009,1196,30.8,9.8,10.3,1,0.4,2.8,0.518,0,0.684,117,0.153,,,,,
,Pau Gasol\gasolpa01,2002,2019,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.368,0.753,144.1,0.169,,,,,
,Tracy McGrady\mcgratr01,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,97.3,0.152,,,,,
,Grant Hill\hillgr01,1995,2013,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,99.9,0.138,,,,,
,Vince Carter\cartevi01,1999,2020,1541,30.1,16.7,4.3,3.1,1,0.6,0.435,0.371,0.798,125.3,0.13,,,,,
,Buck Williams\willibu01,1982,1998,1307,32.5,12.8,10,1.3,0.8,0.8,0.549,0.167,0.664,120.1,0.136,,,,,
,Slater Martin\martisl01,1950,1960,745,35.9,9.8,3.4,4.2,,,0.364,,0.762,47.5,0.087,,,,,
,Kevin Johnson\johnske02,1988,2000,735,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.305,0.841,92.8,0.178,,,,,
,Brad Daugherty\daughbr01,1987,1994,548,36.5,19,9.5,3.7,0.8,0.7,0.532,0.143,0.747,65.2,0.156,,,,,
,Walter Davis\daviswa03,1978,1992,1033,27.9,18.9,3,3.8,1.2,0.1,0.511,0.272,0.851,76.9,0.128,,,,,
,Carmelo Anthony\anthoca01,2004,2021,1156,35.4,23.3,6.4,2.9,1,0.5,0.447,0.35,0.812,103.4,0.121,,,,,
,Dan Issel\isselda01,1977,1985,718,31.1,20.4,7.9,2.5,1,0.6,0.506,0.253,0.797,82.3,0.177,,,,,
,Chris Paul\paulch01,2006,2021,1054,34.8,18.4,4.5,9.4,2.2,0.1,0.471,0.37,0.872,184.7,0.242,,,,,
,George McGinnis\mcginge01,1976,1982,528,30.7,17.2,9.8,3.8,1.7,0.4,0.448,0.08,0.651,36.2,0.107,,,,,
,Jamaal Wilkes\wilkeja01,1975,1986,828,32.9,17.7,6.2,2.5,1.3,0.3,0.499,0.135,0.759,71.3,0.125,,,,,
,Chet Walker\walkech01,1963,1975,1032,32.4,18.2,7.1,2.1,0.7,0.1,0.47,,0.796,117.4,0.168,,,,,
,George Yardley\yardlge01,1954,1960,472,33.4,19.2,8.9,1.7,,,0.422,,0.78,58.5,0.178,,,,,
,Kevin Porter\porteke01,1973,1983,659,29,11.6,1.8,8.1,1.4,0.1,0.483,0.188,0.737,36,0.09,,,,,
,Richie Guerin\gueriri01,1957,1970,848,32.4,17.3,5,5,,,0.416,,0.78,69.2,0.121,,,,,
,Norm Van Lier\vanlino01,1970,1979,746,35.1,11.8,4.8,7,1.8,0.2,0.414,,0.78,47.8,0.088,,,,,
,Willie Naulls\naullwi01,1957,1966,716,28.8,15.8,9.1,1.6,,,0.406,,0.812,34.3,0.08,,,,,
,Zelmo Beaty\beatyze01,1963,1975,570,32.2,16,10.4,1.5,0.7,0.4,0.469,,0.75,58.2,0.152,,,,,
,Marques Johnson\johnsma01,1978,1990,691,34.3,20.1,7,3.6,1.3,0.8,0.518,0.152,0.739,79.8,0.162,,,,,
,Jo Jo White\whitejo01,1970,1981,837,35.8,17.2,4,4.9,1.3,0.2,0.444,0.167,0.834,54,0.087,1,,,,
,Jack Sikma\sikmaja01,1978,1991,1107,33.4,15.6,9.8,3.2,1,0.9,0.464,0.328,0.849,112.5,0.146,,,,,
,Tom Chambers\chambto01,1982,1998,1107,30.6,18.1,6.1,2.1,0.8,0.6,0.468,0.307,0.807,79,0.112,,,,,
,Dick McGuire\mcguidi01,1950,1960,738,28.3,8,4.2,5.7,,,0.389,,0.644,50.9,0.115,,,,,
,Maurice Cheeks\cheekma01,1979,1993,1101,31.6,11.1,2.8,6.7,2.1,0.3,0.523,0.255,0.793,103.5,0.143,,,,,
,Ben Wallace\wallabe01,1997,2012,1088,29.5,5.7,9.6,1.3,1.3,2,0.474,0.137,0.414,93.5,0.14,,,,,
,Chauncey Billups\billuch01,1998,2014,1043,31.6,15.2,2.9,5.4,1,0.2,0.415,0.387,0.894,120.8,0.176,1,,,,
,Bailey Howell\howelba01,1960,1971,950,32.2,18.7,9.9,2,,,0.48,,0.762,114.8,0.18,,,,,
,Lou Hudson\hudsolo01,1967,1979,890,33.5,20.2,4.4,2.7,1.4,0.3,0.489,,0.797,81,0.131,,,,,
,Rudy Tomjanovich\tomjaru01,1971,1981,768,33.5,17.4,8.1,2,0.7,0.3,0.501,0.262,0.784,70.4,0.131,,,,,
,Deron Williams\willide01,2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.357,0.822,77.3,0.129,,,,,
,Guy Rodgers\rodgegu01,1959,1970,892,32.1,11.7,4.3,7.8,,,0.378,,0.721,33.3,0.056,,,,,
,Anfernee Hardaway\hardaan01,1994,2008,704,33.7,15.2,4.5,5,1.6,0.4,0.458,0.316,0.774,61.9,0.125,,,,,
,Phil Chenier\cheniph01,1972,1981,578,33.1,17.2,3.6,3,1.6,0.6,0.444,0.4,0.806,39.3,0.099,,,,,
,Charlie Scott\scottch01,1972,1980,560,34.4,17.9,3.6,4.8,1.3,0.3,0.444,0.182,0.772,26.9,0.067,,,,,
,Bob Davies\daviebo01,1949,1955,462,31.3,14.3,2.9,4.9,,,0.378,,0.759,49.7,0.148,,,,,
,Harry Gallatin\gallaha01,1949,1958,682,31.9,13,11.9,1.8,,,0.398,,0.773,78.4,0.182,,,,,
,Maurice Lucas\lucasma01,1977,1988,855,29,14.4,8.8,2.3,0.7,0.6,0.473,0.111,0.763,58.7,0.114,,,,,
,Larry Foust\foustla01,1951,1962,817,29.2,13.7,9.8,1.7,,,0.405,,0.741,74.3,0.153,,,,,
,Michael Cooper\coopemi01,1979,1990,873,27.1,8.9,3.2,4.2,1.2,0.6,0.469,0.34,0.833,52.5,0.107,,,,,
,Paul Silas\silaspa01,1965,1980,1254,27.9,9.4,9.9,2.1,0.6,0.2,0.432,,0.673,79.9,0.11,,,,,
,Tony Parker\parketo01,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,0.491,0.324,0.751,111.3,0.14,1,,,,
,Metta World Peace\artesro01,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,0.414,0.339,0.715,61.1,0.093,,,,,
,Paul Westphal\westppa01,1973,1984,823,25.5,15.6,1.9,4.4,1.3,0.3,0.504,0.275,0.82,67.7,0.155,,,,,
,Phil Smith\smithph01,1975,1983,659,29.1,15.1,3,3.9,1.1,0.3,0.476,0.253,0.779,41.1,0.103,,,,,
,Manu Ginóbili\ginobma01,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,0.447,0.369,0.827,106.4,0.19,,,,,
,Amar'e Stoudemire\stoudam01,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.236,0.761,92.5,0.169,,,,,
,Vern Mikkelsen\mikkeve01,1950,1959,699,32.5,14.4,9.4,2.2,,,0.403,,0.766,83.4,0.17,,,,,
,Rudy LaRusso\larusru01,1960,1969,736,33.3,15.6,9.4,2.1,,,0.431,,0.767,61.4,0.12,,,,,
,Red Kerr\kerrre01,1955,1966,905,30.7,13.8,11.2,2.2,,,0.418,,0.723,61.8,0.107,,,,,
,Terry Cummings\cummite01,1983,2000,1183,28.7,16.4,7.3,1.9,1.1,0.5,0.484,0.295,0.706,91.1,0.129,,,,,
,Gus Williams\willigu01,1976,1987,825,31.1,17.1,2.7,5.6,2,0.4,0.461,0.238,0.756,67.9,0.127,,,,,
,Shawn Kemp\kempsh01,1990,2003,1051,27.9,14.6,8.4,1.6,1.1,1.2,0.488,0.277,0.741,89.5,0.147,,,,,
,Horace Grant\grantho01,1988,2004,1165,33.2,11.2,8.1,2.2,1,1,0.509,0.063,0.692,118.2,0.147,,,,,
,Shawn Marion\mariosh01,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.331,0.81,124.9,0.15,,,,,
,Gene Shue\shuege01,1955,1964,699,33.4,14.4,4.1,3.7,,,0.396,,0.806,38.9,0.08,,,,,
,Yao Ming\mingya01,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.2,0.833,65.9,0.2,,,,,
,Mark Price\pricema01,1987,1998,722,29.9,15.2,2.6,6.7,1.2,0.1,0.472,0.402,0.904,71.1,0.158,,,,,
,Rasheed Wallace\wallara01,1996,2013,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.336,0.721,105.1,0.139,,,,,
,Calvin Murphy\murphca01,1971,1983,1002,30.5,17.9,2.1,4.4,1.5,0.1,0.482,0.139,0.892,84.1,0.132,,,,,
,Bobby Wanzer\wanzebo01,1949,1957,568,32.5,12.2,4.5,3.2,,,0.393,,0.802,63.9,0.156,,,,,
,Bobby Jones\jonesbo01,1977,1986,774,26.1,11.5,5.5,2.4,1.4,1.3,0.55,0,0.78,73.7,0.175,,,,,
,Mark Jackson\jacksma01,1988,2004,1296,30.2,9.6,3.8,8,1.2,0.1,0.447,0.332,0.77,91.8,0.113,,,,,
,Otis Birdsong\birdsot01,1978,1989,696,31.1,18,3,3.2,1.2,0.2,0.506,0.274,0.655,48.2,0.107,,,,,
,Johnny Green\greenjo01,1960,1973,1057,23.3,11.6,8.6,1.4,,,0.493,,0.553,58,0.113,,,,,
,John Drew\drewjo01,1975,1985,739,29.5,20.7,6.9,1.7,1.4,0.3,0.47,0.175,0.748,68.9,0.152,,,,,
,Tom Gola\golato01,1956,1966,698,32.3,11.3,8,4.2,,,0.431,,0.76,53.2,0.113,,,,,
,Larry Nance\nancela01,1982,1994,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.145,0.755,109.6,0.171,,,,,
,Randy Smith\smithra01,1972,1983,976,32.2,16.7,3.7,4.6,1.7,0.1,0.47,0.155,0.781,60.1,0.092,,,,,
,Terry Porter\portete01,1986,2002,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.386,0.836,110.4,0.15,,,,,
,Rolando Blackman\blackro01,1982,1994,980,32.7,18,3.3,3,0.7,0.3,0.493,0.343,0.84,75.6,0.113,,,,,
,Andy Phillip\phillan01,1948,1958,701,32.2,9.1,4.4,5.4,,,0.368,,0.695,60.8,0.101,,,,,
,Clyde Lovellette\lovelcl01,1954,1964,704,27.1,17,9.5,1.6,,,0.443,,0.757,70.6,0.178,,,,,
,Chris Bosh\boshch01,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.335,0.799,106,0.159,,,,,
,Bill Bradley\bradlbi01,1968,1977,742,30.7,12.4,3.2,3.4,0.7,0.2,0.448,,0.84,38.8,0.082,,,,,
,Larry Johnson\johnsla02,1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,0.484,0.332,0.766,69.7,0.13,,,,,
,Jermaine O'Neal\onealje01,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,0.467,0.147,0.715,66,0.116,,,,,
,Andrew Toney\toneyan01,1981,1988,468,26.9,15.9,2.2,4.2,0.8,0.2,0.5,0.342,0.797,26.9,0.103,,,,,
,Reggie Theus\theusre01,1979,1991,1026,33.7,18.5,3.3,6.3,1.2,0.2,0.471,0.252,0.826,66.9,0.093,,,,,
,Elton Brand\brandel01,2000,2016,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.095,0.736,109.6,0.151,,,,,
,K.C. Jones\joneskc01,1959,1967,676,25.9,7.4,3.5,4.3,,,0.387,,0.647,38.6,0.106,,,,,
,Jerry Sloan\sloanje01,1966,1976,755,34.1,14,7.4,2.5,2.2,0.2,0.427,,0.722,49.5,0.092,,,,,
,Jamal Mashburn\mashbja01,1994,2004,611,37.3,19.1,5.4,4,1,0.2,0.418,0.345,0.766,43.7,0.092,,,,,
,Bob Rule\rulebo01,1968,1975,403,29.4,17.4,8.3,1.5,0.4,0.4,0.461,,0.686,22.7,0.092,,,,,
,Derrick Coleman\colemde01,1991,2005,781,33.2,16.5,9.3,2.5,0.8,1.3,0.447,0.295,0.769,64.3,0.119,,,,,
,Gilbert Arenas\arenagi01,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,0.421,0.351,0.803,51.3,0.127,,,,,
,Joe Johnson\johnsjo02,2002,2018,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.371,0.802,82.8,0.09,,,,,
,Joe Caldwell\caldwjo01,1965,1970,468,29.6,15.2,5.1,2.7,,,0.459,,0.634,23.9,0.083,,,,,
,Norm Nixon\nixonno01,1978,1989,768,35.5,15.7,2.6,8.3,1.5,0.1,0.483,0.294,0.772,47.6,0.084,,,,,
,Mark Aguirre\aguirma01,1982,1994,923,30,20,5,3.1,0.7,0.3,0.484,0.312,0.741,67.8,0.117,,,,,
,Micheal Ray Richardson\richami01,1979,1986,556,33.4,14.8,5.5,7,2.6,0.4,0.457,0.22,0.69,35.2,0.091,,,,,
,Archie Clark\clarkar01,1967,1976,725,32.5,16.3,3.3,4.8,1.1,0.1,0.48,,0.769,64.7,0.132,,,,,
,Jimmy Walker\walkeji01,1968,1976,698,33.8,16.7,2.7,3.5,1.1,0.2,0.461,,0.829,42.9,0.087,,,,,
