Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
471,Derrick White\whitede01,SG,26,SAS,8,4,23.6,4.3,10.8,.395,1.9,5.5,.341,2.4,5.3,.452,.483,1.4,1.9,.733,0.1,1.6,1.8,3.9,1.0,1.0,0.9,2.3,11.8
472,Hassan Whiteside\whiteha01,C,31,SAC,23,1,14.6,3.5,6.0,.580,0.0,0.0,.000,3.5,6.0,.584,.580,1.3,2.4,.545,1.6,4.2,5.7,0.5,0.3,1.3,1.0,1.8,8.3
473,Greg Whittington\whittgr01,PF,27,DEN,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Andrew Wiggins\wiggian01,PF,25,GSW,37,37,32.2,6.5,14.1,.463,1.8,5.0,.351,4.8,9.1,.524,.525,2.2,3.3,.672,1.0,3.4,4.5,2.2,0.8,1.1,1.9,2.3,17.0
475,Grant Williams\willigr01,PF,22,BOS,28,6,18.5,1.9,4.1,.470,0.9,2.1,.433,1.0,2.0,.509,.583,0.5,1.0,.517,1.0,1.9,2.9,0.9,0.5,0.4,1.0,2.8,5.3
476,Kenrich Williams\willike04,PF,26,OKC,36,6,18.9,2.6,4.7,.554,0.6,1.4,.420,2.0,3.3,.610,.616,0.4,0.7,.625,1.3,2.7,4.0,1.6,0.8,0.2,0.9,1.8,6.2
477,Lou Williams\willilo02,PG,34,LAC,35,3,22.7,4.5,10.7,.422,1.1,2.8,.398,3.4,7.9,.431,.475,2.4,2.7,.865,0.4,1.9,2.3,3.7,0.9,0.1,1.6,1.0,12.5
478,Patrick Williams\willipa01,PF,19,CHI,33,33,28.5,3.8,8.1,.474,0.9,2.3,.390,2.9,5.8,.508,.530,1.6,2.0,.788,0.9,3.9,4.8,1.2,0.7,0.8,1.5,2.3,10.2
479,Robert Williams\williro04,C,23,BOS,29,0,16.1,3.0,4.2,.721,0.0,0.0,.000,3.0,4.2,.727,.721,0.9,1.3,.641,2.3,3.6,5.9,1.1,0.9,1.4,1.0,1.8,6.9
480,Zion Williamson\willizi01,PF,20,NOP,34,34,33.1,9.9,16.1,.614,0.2,0.6,.316,9.7,15.5,.624,.619,5.7,8.2,.695,2.7,4.5,7.2,3.4,0.9,0.7,2.6,2.4,25.6
481,D.J. Wilson\wilsodj01,PF,24,MIL,11,0,9.0,1.4,3.7,.366,0.8,2.4,.346,0.5,1.4,.400,.476,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.4,0.4,1.1,3.6
482,Dylan Windler\windldy01,SF,24,CLE,22,0,19.0,2.1,4.7,.456,1.0,2.9,.365,1.1,1.8,.600,.568,1.0,1.2,.808,0.8,3.3,4.1,1.3,0.7,0.5,1.0,1.3,6.3
483,Justise Winslow\winslju01,SF,24,MEM,6,0,22.3,4.0,10.7,.375,0.5,2.5,.200,3.5,8.2,.429,.398,1.0,1.7,.600,0.8,4.3,5.2,1.5,0.5,0.7,1.7,3.0,9.5
484,Cassius Winston\winstca01,PG,22,WAS,6,0,7.3,0.7,1.7,.400,0.5,1.2,.429,0.2,0.5,.333,.550,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.2,0.2,0.7,2.2
485,James Wiseman\wisemja01,C,19,GSW,26,17,20.8,4.8,9.5,.510,0.4,1.0,.370,4.5,8.5,.527,.530,1.7,2.7,.629,1.4,4.5,5.9,0.7,0.3,1.1,1.5,3.2,11.8
486,Christian Wood\woodch01,C,25,HOU,17,17,31.2,8.8,15.7,.558,1.9,4.5,.421,6.9,11.2,.613,.618,2.6,3.8,.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22.0
487,Robert Woodard\woodaro01,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
488,Delon Wright\wrighde01,SG,28,DET,29,24,29.2,3.8,8.1,.468,1.0,2.5,.384,2.8,5.6,.506,.528,2.1,2.7,.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.7
489,Thaddeus Young\youngth01,PF,32,CHI,30,0,25.3,5.6,9.1,.609,0.2,0.7,.227,5.4,8.4,.643,.619,0.8,1.5,.500,2.4,3.5,5.9,4.4,1.4,0.6,1.9,2.7,12.1
490,Trae Young\youngtr01,PG,22,ATL,34,34,34.8,7.7,17.9,.430,2.5,6.6,.378,5.2,11.3,.460,.499,8.5,9.6,.878,0.7,3.4,4.2,9.4,0.9,0.2,4.4,2.1,26.4
